,channelsKeep
0,DA 01
1,DA 02
2,DA 03
3,DA 04
4,DB 01
5,DB 02
6,DB 03
7,DB 04
8,G 01
9,G 02
10,G 03
11,G 04
12,G 05
13,G 06
14,G 07
15,G 08
16,G 09
17,G 10
18,G 11
19,G 12
20,G 13
21,G 14
22,G 15
23,G 16
24,G 17
25,G 18
26,G 19
27,G 20
28,G 21
29,G 22
30,G 23
31,G 24
32,G 25
33,G 26
34,G 27
35,G 28
36,G 29
37,G 30
38,G 31
39,G 32
40,G 33
41,G 34
42,G 35
43,G 36
44,G 37
45,G 38
46,G 39
47,G 40
48,G 41
49,G 42
50,G 43
51,G 44
52,G 45
53,G 46
54,G 47
55,G 48
56,G 49
57,G 50
58,G 51
59,G 52
60,G 53
61,G 54
62,G 55
63,G 56
64,G 57
65,G 58
66,G 59
67,G 60
68,G 61
69,G 62
70,G 63
71,G 64
72,SA 01
73,SA 02
74,SA 03
75,SA 04
76,SA 05
77,SA 06
78,SB 01
79,SB 02
80,SB 03
81,SB 04
82,SB 05
83,SB 06
